La ciudad es grande
El chico es interesante
La casa es vieja
El libro es divertido
La mesa es amable
El sol es moderno
Los árboles es bonitos
La casa es grande
Las flores es amables
El sol es nuevo
El parque es nuevo
La niña es caliente
La playa es nueva
La ciudad es clara
El libro es divertido
La luna es débil
Las calles es enfermas
El libro es aburrido
El chico es salado
Los amigos es fríos
Los amigos es fuertes
Los coches es interesantes
Los gatos es bonitos
El sol es salado
Las flores es nuevas
El coche es dulce
Los amigos es seguros
La casa es grande
Las montañas es divertidas
El edificio es divertido
Las montañas es pesadas
El chico es oscuro
El libro es pesado
El edificio es aburrido
La niña es clara
El parque es triste
La casa es amable
El sol es aburrido
Los coches es amables
Las flores es pesadas
La niña es enferma
El libro es triste
Las montañas es pequeñas
El libro es nuevo
Los amigos es dulces
El coche es sano
El edificio es frío
La luna es pequeña
La niña es feliz
Las flores es sanas
La mesa es ligera
El sol es fuerte
La mesa es rápida
Los amigos es dulces
Los coches es pequeños
El chico es bonito
La niña es bonita
La playa es caliente
La mesa es fuerte
El perro es pequeño
Las montañas es nuevas
El perro es aburrido
El chico es sano
Los coches es modernos
El libro es fuerte
Las calles es tristes
El coche es pesado
Las montañas es pesadas
Las montañas es ligeras
Los gatos es ligeros
La mesa es triste
El sol es bonito
El coche es fuerte
El perro es aburrido
El perro es moderno
El chico es claro
El edificio es bonito
El perro es débil
Los coches es fuertes
Las flores es amables
La luna es clara
La luna es feliz
El libro es dulce
La playa es interesante
La casa es pesada
La ciudad es enferma
La luna es débil
Las calles es fuertes
El chico es claro
El coche es rápido
El parque es salado
El edificio es bonito
La casa es antigua
Los amigos es débils
El coche es claro
El perro es seguro
El libro es grande
La luna es pequeña
Los coches es pequeños
La casa es nueva
El sol es amable
Los árboles es sanos
Los árboles es claros
El chico es claro
Las calles es nuevas
La luna es fuerte
El parque es interesante
El edificio es seguro
El libro es pequeño
El perro es luminoso
El perro es divertido
Los coches es enfermos
Las flores es dulces
El libro es bonito
El coche es frío
Las flores es pesadas
El sol es bonito
El coche es enfermo
La ciudad es salada
El parque es oscuro
El coche es rápido
Los coches es divertidos
Las calles es nuevas
El edificio es rápido
Los coches es pequeños
La playa es salada
La mesa es clara
El sol es pesado
Los árboles es felizs
Las montañas es pequeñas
La casa es oscura
El libro es frío
El libro es claro
La niña es amable
El sol es sano
La mesa es salada
El sol es divertido
La ciudad es fría
La luna es bonita
La niña es vieja
El libro es moderno
La niña es divertida
El chico es amable
La playa es feliz
La mesa es pesada
La mesa es oscura
El chico es sano
La playa es segura
La casa es feliz
Los coches es pesados
La luna es sana
El parque es peligroso
La playa es caliente
Las montañas es calientes
La luna es ligera
El edificio es frío
El sol es feliz
La mesa es salada
La playa es clara
El perro es pesado
La ciudad es salada
La casa es segura
Los coches es ligeros
Los amigos es amables
Los amigos es amables
Los árboles es interesantes
Los coches es antiguos
El sol es sano
El sol es grande
El coche es débil
Los coches es pesados
El parque es ligero
Los gatos es seguros
Los gatos es débils
La niña es enferma
Los gatos es claros
El sol es pequeño
La playa es dulce
El libro es pesado
Los árboles es modernos
La ciudad es débil
La ciudad es rápida
Las calles es bonitas
Los amigos es dulces
Los coches es salados
El perro es peligroso
Las montañas es tristes
Los gatos es fríos
El coche es salado
Los amigos es sanos
La playa es grande
La luna es fría
La niña es feliz
La casa es nueva
Los árboles es grandes
Las calles es interesantes
El perro es caliente
La mesa es amable
El parque es aburrido
Los coches es claros
El coche es pequeño
Las montañas es amables
La playa es divertida
Los amigos es fríos
El perro es fuerte
Las flores es oscuras
La luna es segura
El libro es salado
Los árboles es luminosos
La playa es caliente
El coche es fuerte
Las montañas es interesantes
Los amigos es débils
El perro es luminoso
La niña es triste
Las calles es ligeras
Las montañas es rápidas
La playa es enferma
La luna es aburrida
La niña es grande
El edificio es grande
La niña es fuerte
Los gatos es bonitos
Las flores es grandes
Los amigos es modernos
El libro es amable
El edificio es caliente
Las calles es interesantes
El edificio es bonito
Los gatos es pesados
Los coches es claros
Las calles es aburridas
Las flores es grandes
Los árboles es felizs
Las flores es peligrosas
La luna es dulce
El coche es sano
Las montañas es oscuras
El parque es fuerte
El sol es amable
El perro es pequeño
El libro es aburrido
La playa es interesante
La mesa es salada
Los amigos es enfermos
La ciudad es divertida
Los árboles es interesantes
Los gatos es calientes
Las calles es débils
La playa es salada
Los árboles es aburridos
La playa es antigua
La casa es grande
El sol es divertido
Los gatos es amables
El libro es ligero
La mesa es segura
La casa es segura
El edificio es peligroso
La playa es antigua
El parque es divertido
El edificio es claro
La playa es salada
El libro es amable
Las montañas es amables
La ciudad es salada
Los coches es pequeños
El sol es viejo
El perro es divertido
El coche es triste
La ciudad es clara
El edificio es peligroso
Los amigos es luminosos
El parque es moderno
Las montañas es oscuras
La playa es salada
Los gatos es calientes
La ciudad es oscura
El sol es bonito
Las flores es grandes
El chico es peligroso
El edificio es rápido
El libro es feliz
La ciudad es fría
Los coches es interesantes
El edificio es claro
Las calles es amables
Los gatos es pesados
La luna es vieja
La luna es rápida
Las flores es sanas
Los gatos es calientes
El parque es grande
Las calles es rápidas
Los coches es nuevos
La ciudad es aburrida
El perro es enfermo
El chico es aburrido
Los gatos es fríos
Las montañas es nuevas
Las flores es nuevas
La casa es triste
Las calles es aburridas
La ciudad es sana
Los gatos es divertidos
El perro es amable
El sol es antiguo
El sol es pesado
El chico es amable
Los amigos es luminosos
La casa es rápida
Las calles es rápidas
Las flores es amables
El coche es sano
El chico es amable
La mesa es interesante
El edificio es salado
La luna es moderna
Los gatos es grandes
Los árboles es antiguos
La niña es grande
Los árboles es pesados
La casa es oscura
El perro es nuevo
La mesa es caliente
El chico es ligero
El perro es frío
Las flores es felizs
El chico es interesante
El coche es pequeño
El parque es fuerte
Las montañas es frías
El libro es aburrido
Los gatos es salados
Los coches es oscuros
Las flores es claras
La niña es ligera
La mesa es dulce
El coche es nuevo
El libro es sano
Las calles es antiguas
El edificio es seguro
El libro es claro
El coche es aburrido
Las calles es dulces
